,Publisher,Global_Sales
546,Wanadoo,0.65
51,Astragon,0.64
140,Elf,0.64
162,Foreign Media Games,0.63
528,Universal Gamex,0.63
447,Seta Corporation,0.63
554,Wizard Video Games,0.62
485,TDK Core,0.62
50,Aspyr,0.62
231,Idea Factory International,0.61
412,Prototype,0.61
366,Nordcurrent,0.5900000000000001
52,Asylum Entertainment,0.59
133,ESP,0.59
338,Mumbo Jumbo,0.5800000000000001
262,Kadokawa Games,0.58
83,CPG Products,0.54
11,AQ Interactive,0.53
62,BPS,0.52
505,The Adventure Company,0.51
218,Hect,0.5
36,Answer Software,0.5
422,Rebellion,0.49
409,Popcorn Arcade,0.49
56,Avalon Interactive,0.48000000000000004
479,Swing! Entertainment,0.48000000000000004
22,Activision Blizzard,0.48
383,Pack In Soft,0.48
527,Ultravision,0.47
251,Irem Software Engineering,0.46
531,Valcon Games,0.45
401,PlayV,0.44
449,Shogakukan,0.44
28,Aksys Games,0.44
35,Angel Studios,0.43999999999999995
345,NEC,0.43000000000000005
504,Tetris Online,0.43
139,Electronic Arts Victor,0.42
254,Jack of All Games,0.42
490,TYO,0.42
569,bitComposer Games,0.41000000000000003
294,Magical Company,0.41
342,NCS,0.4
379,P2 Games,0.4
291,MTO,0.4
321,Microids,0.4
532,ValuSoft,0.39
200,Graffiti,0.38
9,989 Sports,0.38
72,Blast! Entertainment Ltd,0.38
221,Hip Interactive,0.36000000000000004
353,New,0.36
392,Performance Designed Products,0.36
111,DSI Games,0.35000000000000003
295,Magix,0.35
508,Time Warner Interactive,0.35
228,ITT Family Games,0.34
427,Reef Entertainment,0.33999999999999997
521,U.S. Gold,0.33
64,Benesse,0.33
469,Starpath Corp.,0.33
86,Cave,0.33
240,Indie Games,0.32
152,Evolved Games,0.32
560,Yacht Club Games,0.32
80,CBS Electronics,0.31
93,CokeM Interactive,0.31
351,Neko Entertainment,0.31
210,Hackberry,0.31
26,Agatsuma Entertainment,0.31
211,Hamster Corporation,0.30000000000000004
183,Game Life,0.30000000000000004
423,Rebellion Developments,0.30000000000000004
293,Mad Catz,0.30000000000000004
117,Data Design Interactive,0.29000000000000004
310,Media Factory,0.29000000000000004
100,Core Design Ltd.,0.29000000000000004
548,Wargaming.net,0.29
153,Excalibur Publishing,0.28
403,Playmates,0.28
357,Nichibutsu,0.28
113,Daedalic,0.27999999999999997
518,Tru Blu Entertainment,0.27999999999999997
105,Culture Brain,0.27
480,Syscom,0.27
107,CyberFront,0.27
285,Liquid Games,0.27
14,ASCII Media Works,0.27
