,Year,Platform,Global_Sales
85,1997,X360,0.36
249,2012,GC,0.36
207,2008,N64,0.33
88,1998,DS,0.33
56,1995,NG,0.33
120,2001,2600,0.31
131,2001,PSP,0.3
164,2004,PSV,0.3
194,2007,PS,0.3
312,2020,DS,0.29
136,2002,DC,0.29
301,2016,PS2,0.28
275,2014,GC,0.28
132,2001,WS,0.28
191,2007,GC,0.28
238,2011,GC,0.28
263,2013,PS2,0.28
177,2006,2600,0.27
5,1984,2600,0.27
30,1991,X360,0.26
104,1999,SNES,0.26
117,2000,Wii,0.24
95,1998,SNES,0.22000000000000003
39,1993,NG,0.21000000000000002
75,1997,3DS,0.19
133,2001,Wii,0.18
257,2012,XB,0.18
61,1995,TG16,0.16
146,2003,DS,0.15
64,1996,2600,0.15
66,1996,GBA,0.14
192,2007,N64,0.14
228,2010,GC,0.13
174,2005,Wii,0.13
97,1999,DS,0.13
292,2015,PSP,0.12
45,1994,NES,0.11
110,2000,GC,0.11
225,2010,3DS,0.11
68,1996,NG,0.1
274,2014,DS,0.09000000000000001
103,1999,SAT,0.09
215,2009,3DS,0.08
54,1995,3DO,0.08
139,2002,N64,0.08
167,2005,3DS,0.07
109,2000,GBA,0.06
118,2000,X360,0.06
130,2001,PS3,0.05
33,1992,GG,0.04
261,2013,GC,0.04
203,2008,DC,0.04
53,1994,Wii,0.04
205,2008,GBA,0.03
18,1988,PC,0.03
310,2017,PS4,0.03
285,2014,XB,0.03
223,2009,XB,0.03
10,1985,PC,0.03
70,1996,PCFX,0.03
311,2017,PSV,0.02
308,2016,XB,0.02
8,1985,DS,0.02
42,1994,3DO,0.02
305,2016,Wii,0.02
188,2007,DC,0.02
165,2004,Wii,0.02
76,1997,DS,0.02
49,1994,PSP,0.02
